,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,zone
2051,19220758,Cine House : splendido luminoso monolocale,118789561,Stefano,,Porto - Saragozza,44.4902294290193,11.31891265498932,Entire home/apt,40,2,9,2018-08-26,0.67,4,47,Costa Saragozza
2052,19235250,Stanza con balcone,121019359,Gianluca,,Borgo Panigale - Reno,44.50463470573956,11.297349438870025,Private room,35,1,15,2018-06-27,1.18,1,364,S. Viola
2053,19236579,Flat in the historic center of Bologna,2130044,Nadia,,Santo Stefano,44.49638733652039,11.349776275656884,Entire home/apt,60,2,36,2018-08-23,3.06,1,119,Irnerio
2054,19238061,room with bathroom entrance and private parking,134683498,Rosita,,Navile,44.51744284828975,11.338513576073453,Private room,24,1,59,2018-08-21,5.12,1,69,Bolognina
2055,19240494,Golden House,134700156,Marina,,Santo Stefano,44.487499860214996,11.362849674761407,Entire home/apt,90,2,16,2018-08-18,1.48,1,347,Murri
2056,19242666,Beautiful and quiet room in the centre of Bologna,131936626,Andrea,,Porto - Saragozza,44.495915108326685,11.334807550076409,Private room,35,1,144,2018-08-11,10.56,2,67,Malpighi
2057,19248183,Piccolo Paradiso,14804503,Nicola,,Porto - Saragozza,44.49596891512106,11.33234642010214,Entire home/apt,59,2,67,2018-08-24,5.3,1,54,Malpighi
2058,19252852,Ampia DOPPIA in via Saragozza,121875576,Anna,,Porto - Saragozza,44.49065277017684,11.331883011880574,Private room,25,3,3,2017-09-30,0.23,1,334,Malpighi
2059,19256723,Stanza in pieno centro storico,47094474,Mirko,,Santo Stefano,44.497820401050184,11.345998621069493,Private room,350,1,0,,,1,178,Irnerio
2060,19260613,Private beds in cozy and modern home,118672629,Ernesto,,Porto - Saragozza,44.499080001839474,11.329203721695535,Private room,20,1,47,2018-02-08,3.27,3,40,Marconi
2061,19292683,"La Casina, precious flat...",75025354,Lorenzo,,Santo Stefano,44.497774821832216,11.349662306765358,Entire home/apt,80,1,23,2018-06-10,1.95,1,140,Irnerio
